,Quarter,Time,Tm,Detail,DEN,OAK
0,1.0,6:11,Broncos,Jason Elam 48 yard field goal,3,0
1,2.0,3:56,Broncos,Jason Elam 47 yard field goal,6,0
2,2.0,0:16,Broncos,Rod Smith 3 yard pass from Brian Griese (Jason Elam kick),13,0
3,3.0,9:00,Raiders,Derrick Walker 21 yard pass from Rich Gannon (Michael Husted kick),13,7
4,3.0,3:35,Raiders,Michael Husted 47 yard field goal,13,10
5,4.0,14:57,Raiders,Michael Husted 19 yard field goal,13,13
6,4.0,10:18,Broncos,Jason Elam 26 yard field goal,16,13
