,Quarter,Time,Tm,Detail,MIN,NYJ
0,1.0,,Jets,Leon Johnson 66 yard punt return (John Hall kick),0,7
1,2.0,,Vikings,Jake Reed 7 yard pass from Brad Johnson (Eddie Murray kick),7,7
2,2.0,,Jets,John Hall 28 yard field goal,7,10
3,2.0,,Jets,Fred Baxter 3 yard pass from Neil O'Donnell (John Hall kick),7,17
4,2.0,,Jets,John Hall 27 yard field goal,7,20
5,3.0,,Jets,John Hall 51 yard field goal,7,23
6,4.0,,Vikings,Jake Reed 6 yard pass from Brad Johnson (Brad Johnson run),15,23
7,4.0,,Vikings,Andrew Glover 1 yard pass from Brad Johnson (run failed),21,23
