,Quarter,Tm,Detail,PHO,NYG
0,1.0,Giants,Paul McFadden 21 yard field goal,0,3
1,1.0,Giants,Stacy Robinson 14 yard pass from Phil Simms (Paul McFadden kick),0,10
2,2.0,Giants,Stacy Robinson 9 yard pass from Phil Simms (Paul McFadden kick),0,17
3,2.0,Cardinals,Earl Ferrell 4 yard rush (Al Del Greco kick),7,17
4,3.0,Giants,Ottis Anderson 1 yard rush (Paul McFadden kick),7,24
5,4.0,Giants,Ottis Anderson 1 yard rush (Paul McFadden kick),7,31
6,4.0,Giants,Joe Morris 4 yard rush (Paul McFadden kick),7,38
7,4.0,Giants,Ottis Anderson 1 yard rush,7,44
