,Quarter,Tm,Detail,CHI,WAS
0,1.0,Bears,Ken Kavanaugh 33 yard pass from Sid Luckman (Pete Gudauskas kick),7,0
1,1.0,Redskins,Steve Bagarus 18 yard rush (Joe Aguirre kick),7,7
2,2.0,Bears,Ken Kavanaugh 48 yard pass from Sid Luckman (Pete Gudauskas kick),14,7
3,2.0,Redskins,Steve Bagarus 70 yard pass from Sammy Baugh (Joe Aguirre kick),14,14
4,2.0,Bears,George Wilson 6 yard pass from Sid Luckman (Pete Gudauskas kick),21,14
5,4.0,Redskins,Merl Condit 5 yard rush (Joe Aguirre kick),21,21
6,4.0,Redskins,Merl Condit 4 yard rush (Joe Aguirre kick),21,28
