,Quarter,Time,Tm,Detail,SFO,ATL
0,1.0,,Falcons,Bert Emanuel 27 yard pass from Jamal Anderson (Morten Andersen kick),0,7
1,1.0,,49ers,Terrell Owens 5 yard pass from Steve Young (Gary Anderson kick),7,7
2,2.0,,49ers,Terry Kirby 1 yard rush (pass failed),13,7
3,2.0,,49ers,Terry Kirby 7 yard rush (Terry Kirby run),21,7
4,2.0,,Falcons,O.J. Santiago 7 yard pass from Chris Chandler (Morten Andersen kick),21,14
5,3.0,,49ers,Terrell Owens 31 yard pass from Steve Young (Gary Anderson kick),28,14
6,3.0,,Falcons,Todd Kinchen 53 yard pass from Chris Chandler (Morten Andersen kick),28,21
7,4.0,1:58,49ers,William Floyd 1 yard rush (Gary Anderson kick),35,21
8,4.0,1:58,Falcons,Terance Mathis 4 yard pass from Billy Joe Tolliver (Morten Andersen kick),35,28
