,Quarter,Tm,Detail,GNB,DET
0,1.0,Lions,Eddie Murray 26 yard field goal,0,3
1,1.0,Lions,Pete Mandley 21 yard rush (Eddie Murray kick),0,10
2,2.0,Lions,Eddie Murray 23 yard field goal,0,13
3,2.0,Lions,Devon Mitchell 90 yard interception return (Eddie Murray kick),0,20
4,2.0,Lions,Garry James 2 yard rush (Eddie Murray kick),0,27
5,4.0,Packers,Ed West 4 yard pass from Randy Wright (Dean Dorsey kick),7,27
6,4.0,Lions,Eddie Murray 23 yard field goal,7,30
7,4.0,Packers,Sterling Sharpe 24 yard pass from Randy Wright (Dean Dorsey kick),14,30
