,Quarter,Time,Tm,Detail,TAM,ARI
0,1.0,,Cardinals,Greg Davis 22 yard field goal,0,3
1,2.0,,Cardinals,Larry Centers 5 yard pass from Kent Graham (Greg Davis kick),0,10
2,3.0,,Buccaneers,Michael Husted 41 yard field goal,3,10
3,3.0,,Cardinals,Greg Davis 37 yard field goal,3,13
4,4.0,,Buccaneers,Mike Alstott 1 yard rush,9,13
