,Quarter,Time,Tm,Detail,CAR,CHI
0,1.0,,Bears,Curtis Conway 41 yard pass from Erik Kramer (Kevin Butler kick),0,7
1,1.0,,Panthers,John Kasay 21 yard field goal,3,7
2,2.0,,Panthers,Mark Carrier 66 yard pass from Kerry Collins (John Kasay kick),10,7
3,2.0,,Bears,Keith Jennings 1 yard pass from Erik Kramer (Kevin Butler kick),10,14
4,2.0,,Panthers,John Kasay 49 yard field goal,13,14
5,3.0,,Bears,Kevin Butler 23 yard field goal,13,17
6,4.0,,Panthers,Greg Kragen 1 yard defensive fumble return (John Kasay kick),20,17
7,4.0,,Bears,Ryan Wetnight 1 yard pass from Erik Kramer (Kevin Butler kick),20,24
8,4.0,,Panthers,Eric Guliford 62 yard punt return (John Kasay kick),27,24
9,4.0,,Bears,Robert Green 1 yard rush (Kevin Butler kick),27,31
