,Quarter,Tm,Detail,SFO,TAM
0,1.0,49ers,Roger Craig 1 yard rush (Ray Wersching kick),7,0
1,1.0,49ers,Mike Wilson 4 yard pass from Joe Montana (Ray Wersching kick),14,0
2,3.0,Buccaneers,Gerald Carter 31 yard pass from Steve DeBerg (Donald Igwebuike kick),14,7
3,3.0,49ers,Ray Wersching 30 yard field goal,17,7
4,4.0,49ers,Roger Craig 1 yard rush (Ray Wersching kick),24,7
5,4.0,49ers,John Frank 10 yard pass from Jeff Kemp (Ray Wersching kick),31,7
