,Quarter,Time,Tm,Detail,CLE,PIT
0,1.0,,Steelers,Gary Anderson 39 yard field goal,0,3
1,2.0,,Steelers,Eric Green 2 yard pass from Neil O'Donnell (Gary Anderson kick),0,10
2,2.0,,Steelers,John Williams 26 yard rush (Gary Anderson kick),0,17
3,2.0,,Browns,Matt Stover 22 yard field goal,3,17
4,2.0,,Steelers,Yancey Thigpen 9 yard pass from Neil O'Donnell (Gary Anderson kick),3,24
5,3.0,,Steelers,Gary Anderson 40 yard field goal,3,27
6,4.0,,Browns,Keenan McCardell 20 yard pass from Vinny Testaverde (pass failed),9,27
7,4.0,,Steelers,"Safety, Lake sacked Testaverde in end zone",9,29
