,Quarter,Tm,Detail,PIT,NOR
0,1.0,Steelers,Lynn Swann 16 yard pass from Terry Bradshaw (David Trout kick),7,0
1,2.0,Steelers,David Trout 25 yard field goal,10,0
2,2.0,Saints,Benny Ricardo 26 yard field goal,10,3
3,2.0,Steelers,David Trout 43 yard field goal,13,3
4,3.0,Saints,Benny Ricardo 33 yard field goal,13,6
5,4.0,Steelers,John Stallworth 47 yard pass from Terry Bradshaw (David Trout kick),20,6
