,Quarter,Tm,Detail,BAL,GNB
0,1.0,Packers,Don McIlhenny 55 yard pass from Bart Starr (Paul Hornung kick),0,7
1,1.0,Packers,Bart Starr 1 yard rush (Paul Hornung kick),0,14
2,2.0,Packers,Paul Hornung 19 yard field goal,0,17
3,2.0,Colts,Johnny Unitas 1 yard rush (Steve Myhra kick),7,17
4,3.0,Colts,Jim Mutscheller 54 yard pass from Johnny Unitas (Steve Myhra kick),14,17
5,4.0,Colts,Steve Myhra 14 yard field goal,17,17
6,4.0,Colts,Andy Nelson 52 yard interception return (Steve Myhra kick),24,17
