,Quarter,Tm,Detail,PIT,NYG
0,1.0,Steelers,"Safety, Lockhart stepped out of end zone",2,0
1,1.0,Steelers,Mike Clark 12 yard field goal,5,0
2,2.0,Steelers,Amos Bullocks 13 yard pass from Bill Nelsen (Mike Clark kick),12,0
3,2.0,Giants,Aaron Thomas 1 yard pass from Tom Kennedy (Pete Gogolak kick),12,7
4,2.0,Steelers,Dick Leftridge 2 yard rush (Mike Clark kick),19,7
5,2.0,Giants,Homer Jones 82 yard pass from Tom Kennedy (Pete Gogolak kick),19,14
6,3.0,Steelers,Willie Asbury 1 yard rush (Mike Clark kick),26,14
7,3.0,Steelers,Willie Asbury 1 yard rush (Mike Clark kick),33,14
8,3.0,Giants,Aaron Thomas 5 yard pass from Tom Kennedy (Pete Gogolak kick),33,21
9,3.0,Steelers,Cannonball Butler 66 yard pass from Bill Nelsen (Mike Clark kick),40,21
10,4.0,Steelers,Dick Leftridge 2 yard rush (extra point pass successful),47,21
11,4.0,Giants,Bobby Crespino 16 yard pass from Tom Kennedy (Pete Gogolak kick),47,28
