,Quarter,Tm,Detail,NYG,SEA
0,1.0,Giants,Joe Danelo 29 yard field goal,3,0
1,2.0,Giants,Gary Shirk 6 yard pass from Phil Simms (Joe Danelo kick),10,0
2,2.0,Giants,Joe Danelo 54 yard field goal,13,0
3,3.0,Giants,Joe Danelo 21 yard field goal,16,0
4,3.0,Giants,Joe Danelo 47 yard field goal,19,0
5,3.0,Giants,Rob Carpenter 2 yard rush (Joe Danelo kick),26,0
6,4.0,Giants,Joe Danelo 31 yard field goal,29,0
7,4.0,Giants,Joe Danelo 37 yard field goal,32,0
