,Quarter,Time,Tm,Detail,ATL,NOR
0,1.0,13:30,Saints,Curtis DeLoatch blocked punt recovery in end zone (John Carney kick),0,7
1,1.0,9:41,Falcons,Morten Andersen 26 yard field goal,3,7
2,1.0,2:54,Saints,Devery Henderson 11 yard rush (John Carney kick),3,14
3,2.0,6:44,Saints,John Carney 37 yard field goal,3,17
4,2.0,0:00,Saints,John Carney 51 yard field goal,3,20
5,3.0,7:14,Saints,John Carney 20 yard field goal,3,23
