,Quarter,Time,Tm,Detail,BAL,HOU
0,1.0,6:32,Ravens,Matt Stover 22 yard field goal,3,0
1,2.0,13:33,Texans,Jonathan Wells 1 yard rush (Kris Brown kick),3,7
2,2.0,8:32,Ravens,Matt Stover 22 yard field goal,6,7
3,2.0,1:50,Ravens,Travis Taylor 26 yard pass from Jeff Blake (Matt Stover kick),13,7
4,3.0,3:33,Ravens,Chester Taylor 11 yard pass from Jeff Blake (Matt Stover kick),20,7
5,3.0,0:04,Texans,Avion Black 76 yard punt return (Kris Brown kick),20,14
6,4.0,6:48,Ravens,Matt Stover 47 yard field goal,23,14
7,4.0,2:56,Texans,Kris Brown 41 yard field goal,23,17
8,4.0,2:19,Texans,"Safety,",23,19
