,Quarter,Time,Tm,Detail,CIN,ARI
0,1.0,,Cardinals,Garrison Hearst 1 yard rush (Greg Davis kick),0,7
1,1.0,,Cardinals,Larry Centers 10 yard pass from Garrison Hearst (Greg Davis kick),0,14
2,2.0,3:11,Cardinals,Ricky Proehl 15 yard pass from Jay Schroeder (Greg Davis kick),0,21
3,3.0,3:11,Bengals,Carl Pickens 4 yard pass from Jeff Blake (Doug Pelfrey kick),7,21
4,4.0,3:11,Cardinals,Larry Centers 10 yard rush (Greg Davis kick),7,28
