,Quarter,Tm,Detail,DAL,SFO
0,1.0,Cowboys,Doug Cosbie 1 yard pass from Gary Hogeboom (Rafael Septien kick),7,0
1,2.0,Cowboys,Rafael Septien 29 yard field goal,10,0
2,2.0,Cowboys,Rafael Septien 48 yard field goal,13,0
3,2.0,49ers,Dwight Clark 49 yard pass from Joe Montana (Ray Wersching kick),13,7
4,2.0,Cowboys,Rafael Septien 41 yard field goal,16,7
5,2.0,49ers,Ray Wersching 39 yard field goal,16,10
6,3.0,49ers,Roger Craig 4 yard rush (Ray Wersching kick),16,17
7,3.0,49ers,Jerry Rice 15 yard rush (Ray Wersching kick),16,24
8,4.0,49ers,Dwight Clark 24 yard pass from Joe Montana (Ray Wersching kick),16,31
