,Quarter,Time,Tm,Detail,DAL,PHI
0,2.0,14:53,Eagles,Chad Hall 4 yard pass from Kevin Kolb (David Akers kick),0,7
1,2.0,11:28,Cowboys,DeMarcus Ware 17 yard defensive fumble return (David Buehler kick),7,7
2,4.0,14:24,Eagles,David Akers 43 yard field goal,7,10
3,4.0,7:01,Eagles,David Akers 22 yard field goal,7,13
4,4.0,0:55,Cowboys,Jason Witten 4 yard pass from Stephen McGee (David Buehler kick),14,13
