,Quarter,Tm,Detail,BUF,SEA
0,1.0,Seahawks,Daryl Turner 4 yard pass from Dave Krieg (Norm Johnson kick),0,7
1,1.0,Seahawks,Steve Largent 10 yard pass from Dave Krieg (Norm Johnson kick),0,14
2,1.0,Seahawks,Norm Johnson 25 yard field goal,0,17
3,2.0,Bills,Lucius Sanford 46 yard defensive fumble return (Joe Danelo kick),7,17
4,2.0,Bills,Don Wilson 65 yard punt return (Joe Danelo kick),14,17
5,3.0,Seahawks,Eric Lane 1 yard rush (Norm Johnson kick),14,24
6,3.0,Bills,Byron Franklin 50 yard pass from Joe Ferguson (Joe Danelo kick),21,24
7,4.0,Bills,Preston Dennard 3 yard pass from Joe Ferguson (Joe Danelo kick),28,24
8,4.0,Seahawks,Steve Largent 51 yard pass from Dave Krieg (Norm Johnson kick),28,31
