,Quarter,Time,Tm,Detail,KAN,OAK
0,2,14:31,Chiefs,Verran Tucker 11 yard pass from Matt Cassel (Ryan Succop kick),7,0
1,2,11:08,Chiefs,Ryan Succop 43 yard field goal,10,0
2,3,14:48,Raiders,Jacoby Ford 94 yard kickoff return (Sebastian Janikowski kick),10,7
3,3,9:41,Chiefs,Ryan Succop 25 yard field goal,13,7
4,3,6:13,Raiders,Khalif Barnes 2 yard pass from Jason Campbell (Sebastian Janikowski kick),13,14
5,4,9:46,Raiders,Sebastian Janikowski 23 yard field goal,13,17
6,4,6:13,Chiefs,Dwayne Bowe 20 yard pass from Matt Cassel (Ryan Succop kick),20,17
7,4,0:03,Raiders,Sebastian Janikowski 41 yard field goal,20,20
8,OT,12:07,Raiders,Sebastian Janikowski 33 yard field goal,20,23
