,Quarter,Tm,Detail,DAL,RAM
0,1.0,Rams,Wendell Tucker 35 yard pass from Roman Gabriel (Bruce Gossett kick),0,7
1,1.0,Cowboys,Mike Clark 18 yard field goal,3,7
2,2.0,Cowboys,Mike Ditka 1 yard pass from Craig Morton (Mike Clark kick),10,7
3,2.0,Rams,Bruce Gossett 36 yard field goal,10,10
4,3.0,Rams,Wendell Tucker 58 yard pass from Roman Gabriel (Bruce Gossett kick),10,17
5,3.0,Cowboys,Mike Clark 22 yard field goal,13,17
6,4.0,Cowboys,Mike Clark 43 yard field goal,16,17
7,4.0,Rams,Roman Gabriel 1 yard rush (Bruce Gossett kick),16,24
8,4.0,Cowboys,Lance Rentzel 8 yard pass from Craig Morton (Mike Clark kick),23,24
