,Quarter,Tm,Detail,NYG,RAM
0,1.0,Giants,Phil McConkey special teams fumble recovery in end zone,6,0
1,2.0,Rams,Dwayne Crutchfield 1 yard rush (Mike Lansford kick),6,7
2,2.0,Rams,Henry Ellard 83 yard punt return (Mike Lansford kick),6,14
3,2.0,Rams,Mike Lansford 33 yard field goal,6,17
4,3.0,Rams,"Safety, Sully blocked punt out of end zone",6,19
5,3.0,Rams,"Safety, Doss and Youngblood tackled Simms in end zone",6,21
6,3.0,Rams,David Hill 2 yard pass from Jeff Kemp (Mike Lansford kick),6,28
7,3.0,Rams,Mike Lansford 35 yard field goal,6,31
8,3.0,Rams,"Safety, Vann blocked punt out of end zone",6,33
9,4.0,Giants,Earnest Gray 15 yard pass from Phil Simms,12,33
