,Quarter,Tm,Detail,MIN,GNB
0,1.0,Packers,Al Del Greco 39 yard field goal,0,3
1,1.0,Vikings,Darrin Nelson 12 yard rush,6,3
2,1.0,Vikings,Anthony Carter 7 yard pass from Tommy Kramer (Chuck Nelson kick),13,3
3,2.0,Packers,Al Del Greco 20 yard field goal,13,6
4,3.0,Vikings,Alfred Anderson 8 yard rush,19,6
5,3.0,Vikings,Chuck Nelson 28 yard field goal,22,6
6,4.0,Vikings,Chuck Nelson 31 yard field goal,25,6
7,4.0,Vikings,Ted Brown 12 yard rush (Chuck Nelson kick),32,6
