,Quarter,Tm,Detail,SFO,DET
0,1.0,Lions,Terry Barr 19 yard pass from Milt Plum (Wayne Walker kick),0,7
1,1.0,49ers,Clyde Conner 6 yard pass from Billy Kilmer (Tommy Davis kick),7,7
2,1.0,Lions,Wayne Walker 35 yard field goal,7,10
3,2.0,Lions,Gail Cogdill 25 yard pass from Milt Plum (Wayne Walker kick),7,17
4,2.0,49ers,Tommy Davis 41 yard field goal,10,17
5,2.0,Lions,Pat Studstill 1 yard pass from Milt Plum (Wayne Walker kick),10,24
6,3.0,Lions,Terry Barr 5 yard pass from Milt Plum (Wayne Walker kick),10,31
7,3.0,49ers,J.D. Smith 4 yard pass from John Brodie (Tommy Davis kick),17,31
8,3.0,49ers,Bernie Casey 43 yard pass from John Brodie (Tommy Davis kick),24,31
9,4.0,Lions,Dan Lewis 1 yard rush (Wayne Walker kick),24,38
10,4.0,Lions,Dan Lewis 64 yard rush (Wayne Walker kick),24,45
