,Quarter,Tm,Detail,WAS,CLE
0,1.0,Redskins,Norb Hecker 17 yard fumble return (Sam Baker kick),7,0
1,1.0,Browns,Ken Konz 65 yard punt return (Lou Groza kick),7,7
2,2.0,Browns,Maurice Bassett 1 yard rush (Lou Groza kick),7,14
3,3.0,Redskins,Sam Baker 31 yard field goal,10,14
4,3.0,Redskins,Sam Baker 19 yard field goal,13,14
5,4.0,Browns,Lou Groza 42 yard field goal,13,17
6,4.0,Redskins,John Carson 26 yard pass from Eddie LeBaron (Sam Baker kick),20,17
