,Quarter,Tm,Detail,GNB,MIN
0,1.0,Vikings,Fred Cox 27 yard field goal,0,3
1,1.0,Packers,Elijah Pitts 1 yard rush (Don Chandler kick),7,3
2,2.0,Packers,Jim Taylor 14 yard pass from Bart Starr (Don Chandler kick),14,3
3,2.0,Packers,Marv Fleming 10 yard pass from Bart Starr (Don Chandler kick),21,3
4,3.0,Vikings,Fred Cox 30 yard field goal,21,6
5,3.0,Vikings,Fred Cox 22 yard field goal,21,9
6,4.0,Vikings,Dave Osborn 38 yard pass from Fran Tarkenton (Fred Cox kick),21,16
7,4.0,Packers,Jim Grabowski 36 yard rush (Don Chandler kick),28,16
