,Quarter,Time,Tm,Detail,CIN,BUF
0,1.0,8:36,Bills,Mike Hollis 32 yard field goal,0,3
1,1.0,1:12,Bills,Mike Hollis 25 yard field goal,0,6
2,2.0,10:25,Bills,Drew Bledsoe 7 yard rush (Mike Hollis kick),0,13
3,2.0,2:41,Bills,Eric Moulds 2 yard pass from Drew Bledsoe (Mike Hollis kick),0,20
4,2.0,0:24,Bengals,Neil Rackers 19 yard field goal,3,20
5,3.0,1:37,Bills,Larry Centers 4 yard rush (Mike Hollis kick),3,27
6,4.0,8:05,Bengals,Jon Kitna 6 yard rush,9,27
