,Quarter,Time,Tm,Detail,PIT,CIN
0,1.0,6:17,Steelers,Jerome Bettis 1 yard rush (Kris Brown kick),7,0
1,1.0,1:41,Bengals,Doug Pelfrey 37 yard field goal,7,3
2,2.0,6:35,Steelers,Jerome Bettis 5 yard rush (Kris Brown kick),14,3
3,4.0,9:22,Steelers,Kris Brown 43 yard field goal,17,3
