,Quarter,Tm,Detail,PHI,BKN
0,1.0,Dodgers,Merl Condit 35 yard field goal,0,3
1,1.0,Dodgers,"Safety, Castiglia tackled in end zone by Kristufek and",0,5
2,2.0,Dodgers,Dean McAdams 30 yard field goal,0,8
3,2.0,Eagles,Dick Humbert 26 yard pass from Tommy Thompson,6,8
4,4.0,Dodgers,Bill Leckonby 9 yard pass from Dean McAdams (Dean McAdams kick),6,15
