,Quarter,Time,Tm,Detail,MIN,BUF
0,1.0,,Vikings,Fuad Reveiz 30 yard field goal,3,0
1,1.0,,Bills,Pete Metzelaars 35 yard pass from Jim Kelly (Steve Christie kick),3,7
2,2.0,,Bills,Steve Christie 41 yard field goal,3,10
3,2.0,,Vikings,Fuad Reveiz 38 yard field goal,6,10
4,2.0,,Vikings,Fuad Reveiz 30 yard field goal,9,10
5,3.0,,Bills,Don Beebe 9 yard pass from Jim Kelly (Steve Christie kick),9,17
6,3.0,,Vikings,Fuad Reveiz 25 yard field goal,12,17
7,4.0,,Vikings,Terry Allen 1 yard rush (pass failed),18,17
8,4.0,,Vikings,Fuad Reveiz 22 yard field goal,21,17
