,Quarter,Time,Tm,Detail,BUF,KAN
0,1.0,0:04,Bills,Terrell Owens 9 yard pass from Ryan Fitzpatrick (Rian Lindell kick),7,0
1,2.0,10:25,Chiefs,Ryan Succop 21 yard field goal,7,3
2,2.0,1:10,Bills,Rian Lindell 41 yard field goal,10,3
3,3.0,3:10,Bills,Rian Lindell 24 yard field goal,13,3
4,3.0,2:53,Chiefs,Jamaal Charles 76 yard rush (Ryan Succop kick),13,10
5,4.0,8:01,Bills,Rian Lindell 36 yard field goal,16,10
