,Quarter,Tm,Detail,PIT,BKN
0,2,Pirates,Bull Karcis 3 yard rush (George Kakasic kick),7,0
1,3,Pirates,Johnny Gildea 1 yard rush (George Kakasic kick),14,0
2,4,Pirates,Johnny Blood 6 yard pass from Max Fiske (Armand Niccolai kick),21,0
