,Quarter,Tm,Detail,WAS,NYG
0,1.0,Giants,Skippy Minisi 14 yard pass from Charlie Conerly (Len Younce kick),0,7
1,2.0,Giants,Bill Swiacki 5 yard pass from Charlie Conerly (Len Younce kick),0,14
2,2.0,Redskins,Dick Todd 26 yard pass from Sammy Baugh (Dick Poillon kick),7,14
3,3.0,Redskins,Ed Quirk 1 yard rush (Dick Poillon kick),14,14
4,3.0,Redskins,Hugh Taylor 24 yard pass from Sammy Baugh (Dick Poillon kick),21,14
5,4.0,Giants,Ray Coates 1 yard rush (Len Younce kick),21,21
6,4.0,Redskins,Hugh Taylor 66 yard pass from Sammy Baugh (Dick Poillon kick),28,21
