,Quarter,Time,Tm,Detail,NYG,WAS
0,2.0,3:32,Giants,Brad Daluiso 46 yard field goal,3,0
1,2.0,0:04,Giants,Brad Daluiso 27 yard field goal,6,0
2,3.0,6:18,Giants,Brad Daluiso 28 yard field goal,9,0
3,4.0,4:48,Redskins,Irving Fryar 5 yard pass from Jeff George (Eddie Murray kick),9,7
