,Quarter,Time,Tm,Detail,BUF,NWE
0,1.0,,Bills,Andre Reed 37 yard pass from Jim Kelly (Steve Christie kick),7,0
1,1.0,,Bills,Thurman Thomas 4 yard pass from Jim Kelly (Steve Christie kick),14,0
2,1.0,,Patriots,Ben Coates 18 yard pass from Drew Bledsoe (Matt Bahr kick),14,7
3,2.0,,Bills,Bill Brooks 12 yard pass from Jim Kelly (Steve Christie kick),21,7
4,2.0,,Patriots,Ben Coates 5 yard pass from Drew Bledsoe (Matt Bahr kick),21,14
5,2.0,,Bills,Don Beebe 14 yard pass from Jim Kelly (Steve Christie kick),28,14
6,3.0,12:45,Patriots,Marion Butts 19 yard rush (Matt Bahr kick),28,21
7,4.0,12:45,Bills,Mike Lodish defensive fumble recovery in end zone (Steve Christie kick),35,21
8,4.0,12:45,Patriots,Michael Timpson 21 yard pass from Drew Bledsoe (Matt Bahr kick),35,28
9,4.0,12:45,Patriots,Marion Butts 6 yard rush (Matt Bahr kick),35,35
10,4.0,12:45,Bills,Steve Christie 32 yard field goal,38,35
