,Quarter,Tm,Detail,PHO,WAS
0,1.0,Cardinals,Roy Green 23 yard pass from Neil Lomax (Al Del Greco kick),7,0
1,1.0,Redskins,"Safety, Caldwell tackled Lomax in end zone",7,2
2,1.0,Redskins,Art Monk 19 yard pass from Mark Rypien (Chip Lohmiller kick),7,9
3,2.0,Cardinals,Al Del Greco 38 yard field goal,10,9
4,2.0,Redskins,Gary Clark 19 yard pass from Mark Rypien (Chip Lohmiller kick),10,16
5,2.0,Redskins,Art Monk 46 yard pass from Mark Rypien (Chip Lohmiller kick),10,23
6,3.0,Redskins,Gary Clark 60 yard pass from Mark Rypien (Chip Lohmiller kick),10,30
7,4.0,Redskins,Chip Lohmiller 20 yard field goal,10,33
8,4.0,Cardinals,Jay Novacek 41 yard pass from Neil Lomax (Al Del Greco kick),17,33
