,Quarter,Tm,Detail,HOU,CLE
0,1.0,Browns,Mike Pruitt 42 yard pass from Brian Sipe (Don Cockroft kick),0,7
1,1.0,Oilers,Earl Campbell 11 yard rush (Toni Fritsch kick),7,7
2,4.0,Browns,Mike Pruitt 1 yard rush (Don Cockroft kick),7,14
