,Quarter,Time,Tm,Detail,IND,NWE
0,2.0,,Colts,Dean Biasucci 27 yard field goal,3,0
1,2.0,,Colts,Ray Buchanan 90 yard interception return (Dean Biasucci kick),10,0
2,2.0,,Patriots,Leroy Thompson 9 yard pass from Drew Bledsoe (Matt Bahr kick),10,7
3,3.0,,Patriots,Ben Coates 6 yard pass from Drew Bledsoe (Matt Bahr kick),10,14
4,3.0,,Patriots,Marion Butts 1 yard rush (Matt Bahr kick),10,21
5,4.0,,Colts,Dean Biasucci 47 yard field goal,13,21
6,4.0,,Patriots,Leroy Thompson 6 yard rush (Matt Bahr kick),13,28
