,Quarter,Tm,Detail,NWE,MIA
0,1.0,Patriots,John Hannah offensive fumble recovery in end zone (John Smith kick),7,0
1,1.0,Patriots,John Sanders 23 yard interception return (John Smith kick),14,0
2,1.0,Patriots,Mack Herron 4 yard pass from Jim Plunkett (John Smith kick),21,0
3,2.0,Patriots,John Smith 46 yard field goal,24,0
4,2.0,Dolphins,Don Nottingham 1 yard rush (Garo Yepremian kick),24,7
5,2.0,Dolphins,Melvin Baker 37 yard pass from Earl Morrall (Garo Yepremian kick),24,14
6,2.0,Dolphins,Garo Yepremian 28 yard field goal,24,17
7,3.0,Dolphins,Melvin Baker 46 yard pass from Earl Morrall (Garo Yepremian kick),24,24
8,4.0,Patriots,John Smith 34 yard field goal,27,24
9,4.0,Dolphins,Don Nottingham 2 yard rush (Garo Yepremian kick),27,31
10,4.0,Dolphins,Garo Yepremian 40 yard field goal,27,34
