,Quarter,Time,Tm,Detail,PHI,DET
0,1.0,2:10,Lions,Theo Riddick 8 yard pass from Matthew Stafford (Matt Prater kick),0,7
1,2.0,14:20,Eagles,Brent Celek 2 yard pass from Mark Sanchez (Caleb Sturgis kick),7,7
2,2.0,7:53,Lions,Golden Tate 2 yard pass from Matthew Stafford (Matt Prater kick),7,14
3,2.0,4:59,Lions,Matt Prater 48 yard field goal,7,17
4,2.0,0:12,Lions,Calvin Johnson 25 yard pass from Matthew Stafford (Matt Prater kick),7,24
5,3.0,7:09,Lions,Calvin Johnson 4 yard pass from Matthew Stafford (Matt Prater kick),7,31
6,3.0,5:05,Lions,Calvin Johnson 3 yard pass from Matthew Stafford (Matt Prater kick),7,38
7,4.0,10:42,Lions,Joique Bell 1 yard rush (Matt Prater kick),7,45
8,4.0,2:56,Eagles,Jordan Matthews 24 yard pass from Mark Sanchez (Caleb Sturgis kick),14,45
