,Quarter,Tm,Detail,CRD,GNB
0,1.0,Packers,"Safety,",0,2
1,1.0,Packers,Hank Bruder unknown yard pass from Arnie Herber,0,8
2,1.0,Packers,Mike Michalske fumble recovery in end zone (Harry O'Boyle kick),0,15
3,1.0,Cardinals,Irv Hill 1 yard rush (Irv Hill kick),7,15
