,Quarter,Tm,Detail,NWE,BUF
0,1.0,Patriots,Sam Cunningham 75 yard rush (John Smith kick),7,0
1,1.0,Bills,Paul Seymour 10 yard pass from Joe Ferguson (John Leypoldt kick),7,7
2,1.0,Bills,O.J. Simpson 29 yard pass from Joe Ferguson,7,13
3,1.0,Bills,O.J. Simpson 1 yard rush (John Leypoldt kick),7,20
4,2.0,Patriots,Sam Cunningham 12 yard rush (John Smith kick),14,20
5,2.0,Bills,Paul Seymour 40 yard pass from Joe Ferguson (John Leypoldt kick),14,27
6,3.0,Patriots,Sam Cunningham 1 yard rush (John Smith kick),21,27
7,4.0,Bills,John Leypoldt 35 yard field goal,21,30
8,4.0,Patriots,Reggie Rucker 12 yard pass from Jim Plunkett (John Smith kick),28,30
