,Quarter,Time,Tm,Detail,NYJ,SEA
0,1.0,,Jets,Wayne Chrebet 35 yard pass from Neil O'Donnell (John Hall kick),7,0
1,1.0,,Jets,John Hall 55 yard field goal,10,0
2,1.0,,Jets,Jeff Graham 26 yard pass from Neil O'Donnell (John Hall kick),17,0
3,2.0,,Jets,Kyle Brady 1 yard pass from Neil O'Donnell (John Hall kick),24,0
4,2.0,,Jets,John Hall 28 yard field goal,27,0
5,2.0,,Seahawks,Todd Peterson 31 yard field goal,27,3
6,3.0,,Jets,Wayne Chrebet 31 yard pass from Neil O'Donnell (John Hall kick),34,3
7,3.0,,Jets,Jeff Graham 47 yard pass from Neil O'Donnell (John Hall kick),41,3
