,Quarter,Tm,Detail,ATL,PHI
0,2,Eagles,Earnest Jackson 8 yard rush (Paul McFadden kick),0,7
1,2,Eagles,Ron Jaworski 1 yard rush (Paul McFadden kick),0,14
2,3,Eagles,Paul McFadden 30 yard field goal,0,17
3,4,Falcons,Joe Washington 18 yard pass from David Archer (Mick Luckhurst kick),7,17
4,4,Falcons,Gerald Riggs 1 yard rush (Mick Luckhurst kick),14,17
5,4,Falcons,Mick Luckhurst 27 yard field goal,17,17
6,OT,Eagles,Mike Quick 99 yard pass from Ron Jaworski,17,23
