,Quarter,Time,Tm,Detail,BAL,SDG
0,1.0,,Chargers,Tony Martin 36 yard pass from Stan Humphries (Greg Davis kick),0,7
1,1.0,,Ravens,Matt Stover 47 yard field goal,3,7
2,2.0,,Chargers,Tony Martin 72 yard pass from Stan Humphries (Greg Davis kick),3,14
3,2.0,,Ravens,Matt Stover 35 yard field goal,6,14
4,3.0,,Ravens,Matt Stover 28 yard field goal,9,14
5,3.0,,Ravens,Jermaine Lewis 37 yard pass from Vinny Testaverde (Michael Jackson pass from Vinny Testaverde),17,14
6,3.0,,Chargers,Tony Martin 38 yard pass from Stan Humphries (Greg Davis kick),17,21
