,Quarter,Tm,Detail,WAS,CHI
0,1.0,Bears,George McAfee 1 yard rush (Johnny Lujack kick),0,7
1,1.0,Bears,Fred Evans 10 yard fumble return (Johnny Lujack kick),0,14
2,1.0,Bears,Fred Evans 16 yard fumble return,0,20
3,2.0,Bears,Jim Keane 37 yard pass from Sid Luckman (Johnny Lujack kick),0,27
4,2.0,Bears,Ken Kavanaugh 20 yard pass from Sid Luckman (Johnny Lujack kick),0,34
5,2.0,Redskins,Steve Bagarus 14 yard pass from Sammy Baugh (Dick Poillon kick),7,34
6,2.0,Bears,Don Kindt 15 yard rush (Johnny Lujack kick),7,41
7,4.0,Redskins,Jim Youel 1 yard rush,13,41
8,4.0,Bears,George Gulyanics 2 yard rush (Johnny Lujack kick),13,48
