,Quarter,Tm,Detail,HOU,BUF
0,2.0,Oilers,Skip Butler 54 yard field goal,3,0
1,2.0,Bills,Benny Ricardo 27 yard field goal,3,3
2,4.0,Oilers,Skip Butler 28 yard field goal,6,3
3,4.0,Oilers,Don Hardeman 19 yard rush (Skip Butler kick),13,3
