,Quarter,Tm,Detail,HOU,OAK
0,1.0,Raiders,Fred Biletnikoff 13 yard pass from Daryle Lamonica (George Blanda kick),0,7
1,1.0,Raiders,George Atkinson 57 yard interception return (George Blanda kick),0,14
2,1.0,Raiders,Rod Sherman 24 yard pass from Daryle Lamonica (George Blanda kick),0,21
3,1.0,Raiders,Fred Biletnikoff 31 yard pass from Daryle Lamonica (George Blanda kick),0,28
4,2.0,Raiders,Charlie Smith 60 yard pass from Daryle Lamonica (George Blanda kick),0,35
5,3.0,Raiders,Rod Sherman 23 yard pass from Daryle Lamonica (George Blanda kick),0,42
6,3.0,Raiders,Billy Cannon 3 yard pass from Daryle Lamonica (George Blanda kick),0,49
7,4.0,Oilers,Alvin Reed 8 yard pass from Pete Beathard (Roy Gerela kick),7,49
8,4.0,Raiders,Marv Hubbard 4 yard rush (George Blanda kick),7,56
