,Quarter,Tm,Detail,PHI,GNB
0,1.0,Eagles,Mark Moseley 15 yard field goal,3,0
1,1.0,Packers,Doug Hart 76 yard interception return (Dale Livingston kick),3,7
2,1.0,Packers,Dale Livingston 22 yard field goal,3,10
3,2.0,Packers,Donny Anderson 3 yard rush (Dale Livingston kick),3,17
4,2.0,Eagles,Ben Hawkins 65 yard pass from Norm Snead (Mark Moseley kick),10,17
5,2.0,Packers,Rich McGeorge 16 yard pass from Bart Starr (Dale Livingston kick),10,24
6,3.0,Packers,Dale Livingston 32 yard field goal,10,27
7,3.0,Eagles,Cyril Pinder 1 yard rush (Mark Moseley kick),17,27
8,4.0,Packers,Dale Livingston 25 yard field goal,17,30
