,Quarter,Tm,Detail,PHI,NYG
0,2.0,Eagles,Tom Sullivan 1 yard rush,6,0
1,2.0,Eagles,Charle Young 7 yard pass from Mike Boryla (Tom Dempsey kick),13,0
2,3.0,Eagles,Tom Sullivan 1 yard rush (Tom Dempsey kick),20,0
3,3.0,Giants,Joe Dawkins 4 yard pass from Craig Morton (Pete Gogolak kick),20,7
