,Quarter,Tm,Detail,PIT,NYJ
0,2.0,Jets,Rob Moore 53 yard pass from Ken O'Brien (Pat Leahy kick),0,7
1,2.0,Steelers,Warren Williams 5 yard pass from Bubby Brister (Gary Anderson kick),7,7
2,3.0,Steelers,Gary Anderson 33 yard field goal,10,7
3,4.0,Steelers,Merril Hoge 1 yard rush (Gary Anderson kick),17,7
4,4.0,Steelers,Louis Lipps 3 yard pass from Bubby Brister (Gary Anderson kick),24,7
