,Quarter,Time,Tm,Detail,NWE,CHI
0,1.0,,Bears,Kevin Butler 44 yard field goal,0,3
1,1.0,,Patriots,Matt Bahr 29 yard field goal,3,3
2,2.0,,Patriots,Matt Bahr 22 yard field goal,6,3
3,4.0,,Patriots,Leroy Thompson 3 yard pass from Drew Bledsoe (Matt Bahr kick),13,3
