,Quarter,Tm,Detail,HOU,WAS
0,1.0,Redskins,Curt Knight 15 yard field goal,0,3
1,1.0,Redskins,Curt Knight 36 yard field goal,0,6
2,2.0,Redskins,Curt Knight 13 yard field goal,0,9
3,2.0,Oilers,Leroy Sledge 5 yard pass from Charley Johnson (Mark Moseley kick),7,9
4,2.0,Redskins,Ron McDole 18 yard interception return (Curt Knight kick),7,16
5,2.0,Oilers,Mark Moseley 42 yard field goal,10,16
6,3.0,Oilers,Mark Moseley 25 yard field goal,13,16
7,4.0,Redskins,Curt Knight 17 yard field goal,13,19
8,4.0,Redskins,Curt Knight 39 yard field goal,13,22
