,Quarter,Tm,Detail,RAM,PIT
0,1.0,Rams,Bud McFadin 21 yard fumble return,6,0
1,2.0,Steelers,Elbie Nickel 22 yard pass from Jack Scarbath (Sid Watson kick),6,7
2,2.0,Steelers,Sid Watson 16 yard field goal,6,10
3,3.0,Rams,Bob Boyd 61 yard pass from Billy Wade (Les Richter kick),13,10
4,3.0,Steelers,Ray Mathews 6 yard pass from Ted Marchibroda (Sid Watson kick),13,17
5,4.0,Steelers,Fran Rogel 1 yard rush (Sid Watson kick),13,24
6,4.0,Steelers,Elbie Nickel 47 yard pass from Jack Scarbath,13,30
