,Quarter,Tm,Detail,HOU,SDG
0,1.0,Chargers,Earnest Jackson 3 yard rush (Rolf Benirschke kick),0,7
1,1.0,Chargers,Earnest Jackson 1 yard rush (Rolf Benirschke kick),0,14
2,2.0,Chargers,Pete Johnson 1 yard rush (Rolf Benirschke kick),0,21
3,2.0,Oilers,Tim Smith 75 yard pass from Warren Moon (Florian Kempf kick),7,21
4,2.0,Chargers,Earnest Jackson 6 yard rush (Rolf Benirschke kick),7,28
5,4.0,Chargers,Rolf Benirschke 23 yard field goal,7,31
6,4.0,Oilers,Eric Mullins 7 yard pass from Oliver Luck (Florian Kempf kick),14,31
