,Quarter,Tm,Detail,MIN,BAL
0,1.0,Colts,Terry Cole 1 yard rush (Lou Michaels kick),0,7
1,2.0,Colts,Willie Richardson 39 yard pass from Earl Morrall (Lou Michaels kick),0,14
2,2.0,Colts,Tom Mitchell 18 yard pass from Earl Morrall (Lou Michaels kick),0,21
3,2.0,Vikings,Fred Cox 43 yard field goal,3,21
4,3.0,Vikings,Fred Cox 36 yard field goal,6,21
5,4.0,Vikings,Fred Cox 31 yard field goal,9,21
