,Quarter,Time,Tm,Detail,NOR,MIN
0,1.0,11:57,Vikings,Randy Moss 53 yard pass from Daunte Culpepper (Gary Anderson kick),0,7
1,1.0,7:46,Saints,Doug Brien 33 yard field goal,3,7
2,1.0,1:36,Vikings,Gary Anderson 24 yard field goal,3,10
3,2.0,1:29,Vikings,Cris Carter 17 yard pass from Daunte Culpepper (Gary Anderson kick),3,17
4,3.0,13:33,Vikings,Randy Moss 68 yard pass from Daunte Culpepper (Gary Anderson kick),3,24
5,3.0,9:33,Saints,Dave Stachelski 2 yard pass from Aaron Brooks (Doug Brien kick),10,24
6,3.0,4:31,Vikings,Gary Anderson 44 yard field goal,10,27
7,4.0,10:46,Vikings,Robert Smith 2 yard rush (Gary Anderson kick),10,34
8,4.0,2:19,Saints,Willie Jackson 48 yard pass from Aaron Brooks (pass failed),16,34
