,Quarter,Tm,Detail,TAM,RAM
0,1.0,Rams,Henry Ellard 14 yard pass from Jim Everett (Mike Lansford kick),0,7
1,2.0,Rams,Charles White 2 yard rush (Mike Lansford kick),0,14
2,2.0,Rams,Charles White 7 yard rush (Mike Lansford kick),0,21
3,3.0,Buccaneers,Donald Igwebuike 33 yard field goal,3,21
4,3.0,Rams,Mike Guman 1 yard rush (Mike Lansford kick),3,28
5,4.0,Rams,Ron Brown 39 yard pass from Jim Everett (Mike Lansford kick),3,35
