,Quarter,Tm,Detail,MIA,IND
0,1.0,Dolphins,Cliff Odom defensive fumble recovery in end zone (Pete Stoyanovich kick),7,0
1,1.0,Dolphins,Pete Stoyanovich 34 yard field goal,10,0
2,2.0,Colts,Chris Goode 54 yard defensive fumble return (Dean Biasucci kick),10,7
3,2.0,Dolphins,Jim Jensen 5 yard pass from Dan Marino (Pete Stoyanovich kick),17,7
4,3.0,Dolphins,Pete Stoyanovich 53 yard field goal,20,7
5,4.0,Dolphins,Tony Paige 2 yard rush (Pete Stoyanovich kick),27,7
