,Quarter,Tm,Detail,DEN,BUF
0,2.0,Broncos,Steve Watson 36 yard pass from Craig Morton (Fred Steinfort kick),7,0
1,2.0,Bills,Nick Mike-Mayer 41 yard field goal,7,3
2,3.0,Bills,Nick Mike-Mayer 46 yard field goal,7,6
3,4.0,Bills,Nick Mike-Mayer 36 yard field goal,7,9
