,Quarter,Tm,Detail,DET,DAL
0,1.0,Lions,Mel Farr 45 yard pass from Greg Landry,6,0
1,1.0,Cowboys,Bob Hayes 50 yard pass from Don Meredith (Mike Clark kick),6,7
2,2.0,Cowboys,Mike Clark 16 yard field goal,6,10
3,2.0,Cowboys,Dan Reeves 1 yard rush (Mike Clark kick),6,17
4,2.0,Cowboys,Craig Baynham 23 yard pass from Don Meredith (Mike Clark kick),6,24
5,2.0,Cowboys,Chuck Howley 35 yard interception return (Mike Clark kick),6,31
6,3.0,Cowboys,Dan Reeves 2 yard rush (Mike Clark kick),6,38
7,3.0,Lions,Earl McCullouch 80 yard pass from Greg Landry (Wayne Walker kick),13,38
8,4.0,Cowboys,Walt Garrison 1 yard rush (Mike Clark kick),13,45
9,4.0,Cowboys,Walt Garrison 1 yard rush (Mike Clark kick),13,52
10,4.0,Cowboys,Dennis Homan 36 yard pass from Craig Morton (Mike Clark kick),13,59
