,Quarter,Tm,Detail,MIA,CIN
0,1.0,Bengals,Chris Bahr 44 yard field goal,0,3
1,1.0,Dolphins,Nat Moore 5 yard pass from Bob Griese (Garo Yepremian kick),7,3
2,2.0,Bengals,Ken Anderson 17 yard rush (Chris Bahr kick),7,10
3,3.0,Bengals,Chris Bahr 43 yard field goal,7,13
4,3.0,Dolphins,Duriel Harris 16 yard pass from Bob Griese (Garo Yepremian kick),14,13
5,3.0,Bengals,Chris Bahr 42 yard field goal,14,16
6,4.0,Dolphins,Garo Yepremian 35 yard field goal,17,16
7,4.0,Bengals,Bob Trumpy 29 yard pass from Ken Anderson (Chris Bahr kick),17,23
