,Quarter,Time,Tm,Detail,NYJ,NWE
0,1.0,8:29,Jets,Curtis Martin 2 yard rush (John Hall kick),7,0
1,1.0,7:34,Jets,Victor Green 21 yard interception return (John Hall kick),14,0
2,1.0,3:31,Patriots,Adam Vinatieri 23 yard field goal,14,3
3,2.0,10:44,Patriots,Kevin Faulk 9 yard rush (Adam Vinatieri kick),14,10
4,2.0,2:11,Jets,Curtis Martin 4 yard rush (John Hall kick),21,10
5,2.0,0:05,Jets,John Hall 38 yard field goal,24,10
6,3.0,4:13,Jets,Curtis Martin 2 yard rush (John Hall kick),31,10
7,4.0,9:38,Patriots,Drew Bledsoe 13 yard rush (Adam Vinatieri kick),31,17
8,4.0,3:56,Jets,John Hall 27 yard field goal,34,17
